impd,year,nets,gzs_cpe,min_tl_yr,max_tl_yr,min_tl,max_tl
BUSL,2017,4,15.75,134,385,100,390
BUSL,2018,4,18.75,130,390,100,390
BUSL,2019,4,14.5,110,270,100,390
BUSL,2020,4,3,100,260,100,390
CASL,2017,8,8.5,220,330,220,375
CASL,2018,3,6.666666666666667,255,375,220,375
CLSL,2017,4,0,NA,NA,110,340
CLSL,2018,4,0.5,280,310,110,340
CLSL,2019,4,2.25,140,340,110,340
CLSL,2020,4,10.75,110,220,110,340
DGSL,2017,6,0,NA,NA,145,269
DGSL,2018,6,2.5,145,240,145,269
DGSL,2019,6,1.8333333333333333,200,250,145,269
DGSL,2020,6,0.8333333333333334,249,269,145,269
GESL,2017,4,6.5,220,390,140,430
GESL,2018,4,9.25,220,370,140,430
GESL,2019,4,5,140,430,140,430
GESL,2020,4,7.25,180,270,140,430
MESL,2017,2,0,NA,NA,Inf,-Inf
MESL,2018,3,0,NA,NA,Inf,-Inf
MESL,2019,3,0,NA,NA,Inf,-Inf
MESL,2020,3,0,NA,NA,Inf,-Inf
NOSL,2017,4,13.5,180,333,120,385
NOSL,2018,4,28.75,120,385,120,385
NOSL,2019,4,17.25,120,212,120,385
NOSL,2020,4,8.25,220,310,120,385
OTSL,2017,5,2.8,131,346,130,410
OTSL,2018,6,1.6666666666666667,230,370,130,410
OTSL,2019,6,19.666666666666668,130,380,130,410
OTSL,2020,6,8.833333333333334,130,410,130,410
PTSA,2017,3,18,247,469,247,469
PTSA,2018,3,16.666666666666668,268,439,247,469
PTSA,2019,3,0,NA,NA,247,469
PTSA,2020,4,0,NA,NA,247,469
SCSL,2017,12,0,NA,NA,Inf,-Inf
SCSL,2018,12,0,NA,NA,Inf,-Inf
SCSL,2019,12,0,NA,NA,Inf,-Inf
SCSL,2020,8,0,NA,NA,Inf,-Inf
SNSL,2017,6,4.5,155,303,155,303
SNSL,2018,6,0.6666666666666666,230,282,155,303
SNSL,2019,6,0,NA,NA,155,303
SNSL,2020,6,0,NA,NA,155,303
WSSL,2017,4,12,135,371,100,418
WSSL,2018,4,1.75,155,418,100,418
WSSL,2019,4,0,NA,NA,100,418
WSSL,2020,4,1.75,100,332,100,418
