"fish_sample_id","impoundment_code","gear_description","units_of_effort","year"
"86825","BUSL","GILL NET-CORE PANEL","18.00000","2020"
"86824","BUSL","GILL NET-CORE PANEL","18.00000","2020"
"86823","BUSL","GILL NET-CORE PANEL","18.00000","2020"
"86822","BUSL","GILL NET-CORE PANEL","18.00000","2020"
"86815","CLSL","GILL NET-CORE PANEL","18.00000","2020"
"86814","CLSL","GILL NET-CORE PANEL","18.00000","2020"
"86813","CLSL","GILL NET-CORE PANEL","18.00000","2020"
"86812","CLSL","GILL NET-CORE PANEL","18.00000","2020"
"86669","CASL","GILL NET-CORE PANEL","21.00000","2020"
"86662","CASL","GILL NET-CORE PANEL","20.00000","2020"
"86659","CASL","GILL NET-CORE PANEL","19.00000","2020"
"86650","CASL","GILL NET-CORE PANEL","19.00000","2020"
"86649","CASL","GILL NET-CORE PANEL","20.00000","2020"
"86647","CASL","GILL NET-CORE PANEL","19.00000","2020"
"86454","MESL","GILL NET-CORE PANEL","18.00000","2020"
"86453","MESL","GILL NET-CORE PANEL","18.00000","2020"
"86452","MESL","GILL NET-CORE PANEL","18.00000","2020"
"85926","NOSL","GILL NET-CORE PANEL","21.00000","2020"
"85925","NOSL","GILL NET-CORE PANEL","21.00000","2020"
"85924","NOSL","GILL NET-CORE PANEL","21.00000","2020"
"85923","NOSL","GILL NET-CORE PANEL","21.00000","2020"
"85814","SNSL","GILL NET-CORE PANEL","24.00000","2020"
"85813","SNSL","GILL NET-CORE PANEL","24.00000","2020"
"85812","SNSL","GILL NET-CORE PANEL","24.00000","2020"
"85811","SNSL","GILL NET-CORE PANEL","24.00000","2020"
"85810","SNSL","GILL NET-CORE PANEL","24.00000","2020"
"85809","SNSL","GILL NET-CORE PANEL","24.00000","2020"
"85802","WSSL","GILL NET-CORE PANEL","24.00000","2020"
"85801","WSSL","GILL NET-CORE PANEL","24.00000","2020"
"85800","WSSL","GILL NET-CORE PANEL","24.00000","2020"
"85799","WSSL","GILL NET-CORE PANEL","24.00000","2020"
"85507","PTSA","GILL NET-CORE PANEL","24.00000","2020"
"85506","PTSA","GILL NET-CORE PANEL","24.00000","2020"
"85505","PTSA","GILL NET-CORE PANEL","24.00000","2020"
"85504","PTSA","GILL NET-CORE PANEL","24.00000","2020"
"85454","SCSL","GILL NET-CORE PANEL","20.00000","2020"
"85451","SCSL","GILL NET-CORE PANEL","20.00000","2020"
"85446","SCSL","GILL NET-CORE PANEL","19.50000","2020"
"85395","SCSL","GILL NET-CORE PANEL","19.00000","2020"
"85369","SCSL","GILL NET-CORE PANEL","19.00000","2020"
"85368","SCSL","GILL NET-CORE PANEL","18.50000","2020"
"85367","SCSL","GILL NET-CORE PANEL","18.00000","2020"
"85366","SCSL","GILL NET-CORE PANEL","17.50000","2020"
"85247","DGSL","GILL NET-CORE PANEL","18.00000","2020"
"85246","DGSL","GILL NET-CORE PANEL","18.00000","2020"
"85245","DGSL","GILL NET-CORE PANEL","18.00000","2020"
"85244","DGSL","GILL NET-CORE PANEL","18.00000","2020"
"85243","DGSL","GILL NET-CORE PANEL","18.00000","2020"
"85242","DGSL","GILL NET-CORE PANEL","18.00000","2020"
"85225","OTSL","GILL NET-CORE PANEL","24.00000","2020"
"85224","OTSL","GILL NET-CORE PANEL","24.00000","2020"
"85223","OTSL","GILL NET-CORE PANEL","24.00000","2020"
"85222","OTSL","GILL NET-CORE PANEL","24.00000","2020"
"85221","OTSL","GILL NET-CORE PANEL","24.00000","2020"
"85220","OTSL","GILL NET-CORE PANEL","24.00000","2020"
"85184","GESL","GILL NET-CORE PANEL","18.00000","2020"
"85183","GESL","GILL NET-CORE PANEL","18.00000","2020"
"85182","GESL","GILL NET-CORE PANEL","18.00000","2020"
"85181","GESL","GILL NET-CORE PANEL","18.00000","2020"
"82605","WSSL","GILL NET-CORE PANEL","24.00000","2019"
"82604","WSSL","GILL NET-CORE PANEL","24.00000","2019"
"82603","WSSL","GILL NET-CORE PANEL","24.00000","2019"
"82602","WSSL","GILL NET-CORE PANEL","24.00000","2019"
"82442","DGSL","GILL NET-CORE PANEL","19.00000","2019"
"82440","DGSL","GILL NET-CORE PANEL","20.00000","2019"
"82438","DGSL","GILL NET-CORE PANEL","20.00000","2019"
"82434","DGSL","GILL NET-CORE PANEL","19.00000","2019"
"82432","DGSL","GILL NET-CORE PANEL","19.00000","2019"
"82430","DGSL","GILL NET-CORE PANEL","20.25000","2019"
"82267","MESL","GILL NET-CORE PANEL","17.00000","2019"
"82266","MESL","GILL NET-CORE PANEL","17.00000","2019"
"82265","MESL","GILL NET-CORE PANEL","17.00000","2019"
"82205","PTSA","GILL NET-CORE PANEL","24.00000","2019"
"82204","PTSA","GILL NET-CORE PANEL","24.00000","2019"
"82200","PTSA","GILL NET-CORE PANEL","24.00000","2019"
"82079","SCSL","GILL NET-CORE PANEL","17.50000","2019"
"82074","SCSL","GILL NET-CORE PANEL","17.25000","2019"
"82071","SCSL","GILL NET-CORE PANEL","16.75000","2019"
"82069","SCSL","GILL NET-CORE PANEL","16.25000","2019"
"82037","SCSL","GILL NET-CORE PANEL","16.25000","2019"
"82035","SCSL","GILL NET-CORE PANEL","16.00000","2019"
"82034","SCSL","GILL NET-CORE PANEL","15.50000","2019"
"82032","SCSL","GILL NET-CORE PANEL","15.25000","2019"
"82018","SNSL","GILL NET-CORE PANEL","24.00000","2019"
"82016","SNSL","GILL NET-CORE PANEL","24.00000","2019"
"82015","SNSL","GILL NET-CORE PANEL","24.00000","2019"
"82013","SNSL","GILL NET-CORE PANEL","24.00000","2019"
"82010","SNSL","GILL NET-CORE PANEL","24.00000","2019"
"82006","SNSL","GILL NET-CORE PANEL","24.00000","2019"
"82005","SCSL","GILL NET-CORE PANEL","19.00000","2019"
"82004","SCSL","GILL NET-CORE PANEL","18.50000","2019"
"82003","SCSL","GILL NET-CORE PANEL","18.00000","2019"
"82002","SCSL","GILL NET-CORE PANEL","17.75000","2019"
"81750","CLSL","GILL NET-CORE PANEL","21.50000","2019"
"81749","CLSL","GILL NET-CORE PANEL","21.50000","2019"
"81748","CLSL","GILL NET-CORE PANEL","21.00000","2019"
"81747","CLSL","GILL NET-CORE PANEL","20.00000","2019"
"81742","BUSL","GILL NET-CORE PANEL","20.00000","2019"
"81741","BUSL","GILL NET-CORE PANEL","19.50000","2019"
"81740","BUSL","GILL NET-CORE PANEL","19.00000","2019"
"81739","BUSL","GILL NET-CORE PANEL","19.00000","2019"
"81731","OTSL","GILL NET-CORE PANEL","21.00000","2019"
"81730","OTSL","GILL NET-CORE PANEL","21.00000","2019"
"81729","OTSL","GILL NET-CORE PANEL","21.00000","2019"
"81728","OTSL","GILL NET-CORE PANEL","21.00000","2019"
"81727","OTSL","GILL NET-CORE PANEL","21.00000","2019"
"81726","OTSL","GILL NET-CORE PANEL","21.00000","2019"
"81707","NOSL","GILL NET-CORE PANEL","17.00000","2019"
"81706","NOSL","GILL NET-CORE PANEL","17.00000","2019"
"81705","NOSL","GILL NET-CORE PANEL","17.00000","2019"
"81704","NOSL","GILL NET-CORE PANEL","17.00000","2019"
"81673","GESL","GILL NET-CORE PANEL","18.00000","2019"
"81672","GESL","GILL NET-CORE PANEL","18.00000","2019"
"81671","GESL","GILL NET-CORE PANEL","18.00000","2019"
"81670","GESL","GILL NET-CORE PANEL","18.00000","2019"
"80951","MESL","GILL NET-CORE PANEL","18.00000","2018"
"80950","MESL","GILL NET-CORE PANEL","18.00000","2018"
"80949","MESL","GILL NET-CORE PANEL","18.00000","2018"
"80910","CASL","GILL NET-CORE PANEL","18.00000","2018"
"80909","CASL","GILL NET-CORE PANEL","18.00000","2018"
"80908","CASL","GILL NET-CORE PANEL","18.00000","2018"
"31983","OTSL","GILL NET-CORE PANEL","19.00000","2018"
"31982","OTSL","GILL NET-CORE PANEL","19.00000","2018"
"31981","OTSL","GILL NET-CORE PANEL","19.00000","2018"
"31980","OTSL","GILL NET-CORE PANEL","19.00000","2018"
"31979","OTSL","GILL NET-CORE PANEL","19.00000","2018"
"31978","OTSL","GILL NET-CORE PANEL","19.00000","2018"
"30847","WSSL","GILL NET-CORE PANEL","24.00000","2018"
"30846","WSSL","GILL NET-CORE PANEL","24.00000","2018"
"30845","WSSL","GILL NET-CORE PANEL","24.00000","2018"
"30844","WSSL","GILL NET-CORE PANEL","24.00000","2018"
"30812","SNSL","GILL NET-CORE PANEL","24.00000","2018"
"30811","SNSL","GILL NET-CORE PANEL","24.00000","2018"
"30810","SNSL","GILL NET-CORE PANEL","24.00000","2018"
"30809","SNSL","GILL NET-CORE PANEL","24.00000","2018"
"30808","SNSL","GILL NET-CORE PANEL","24.00000","2018"
"30807","SNSL","GILL NET-CORE PANEL","24.00000","2018"
"30781","PTSA","GILL NET-CORE PANEL","24.00000","2018"
"30780","PTSA","GILL NET-CORE PANEL","24.00000","2018"
"30779","PTSA","GILL NET-CORE PANEL","24.00000","2018"
"30717","GESL","GILL NET-CORE PANEL","24.00000","2018"
"30716","GESL","GILL NET-CORE PANEL","24.00000","2018"
"30715","GESL","GILL NET-CORE PANEL","24.00000","2018"
"30714","GESL","GILL NET-CORE PANEL","24.00000","2018"
"30556","SCSL","GILL NET-CORE PANEL","18.50000","2018"
"30555","SCSL","GILL NET-CORE PANEL","17.50000","2018"
"30554","SCSL","GILL NET-CORE PANEL","18.00000","2018"
"30553","SCSL","GILL NET-CORE PANEL","17.50000","2018"
"30552","SCSL","GILL NET-CORE PANEL","18.00000","2018"
"30551","SCSL","GILL NET-CORE PANEL","17.00000","2018"
"30550","SCSL","GILL NET-CORE PANEL","17.50000","2018"
"30549","SCSL","GILL NET-CORE PANEL","17.00000","2018"
"30548","SCSL","GILL NET-CORE PANEL","18.50000","2018"
"30547","SCSL","GILL NET-CORE PANEL","18.50000","2018"
"30546","SCSL","GILL NET-CORE PANEL","17.50000","2018"
"30545","SCSL","GILL NET-CORE PANEL","18.00000","2018"
"30394","CLSL","GILL NET-CORE PANEL","17.00000","2018"
"30393","CLSL","GILL NET-CORE PANEL","17.00000","2018"
"30392","CLSL","GILL NET-CORE PANEL","17.00000","2018"
"30391","CLSL","GILL NET-CORE PANEL","17.00000","2018"
"30386","BUSL","GILL NET-CORE PANEL","18.00000","2018"
"30385","BUSL","GILL NET-CORE PANEL","18.00000","2018"
"30384","BUSL","GILL NET-CORE PANEL","18.00000","2018"
"30383","BUSL","GILL NET-CORE PANEL","18.00000","2018"
"30342","NOSL","GILL NET-CORE PANEL","17.00000","2018"
"30341","NOSL","GILL NET-CORE PANEL","17.00000","2018"
"30340","NOSL","GILL NET-CORE PANEL","17.00000","2018"
"30339","NOSL","GILL NET-CORE PANEL","17.00000","2018"
"29941","SCSL","GILL NET-CORE PANEL","18.00000","2017"
"29940","SCSL","GILL NET-CORE PANEL","20.00000","2017"
"29939","SCSL","GILL NET-CORE PANEL","19.50000","2017"
"29938","SCSL","GILL NET-CORE PANEL","20.50000","2017"
"29937","SCSL","GILL NET-CORE PANEL","18.00000","2017"
"29936","SCSL","GILL NET-CORE PANEL","17.50000","2017"
"29935","SCSL","GILL NET-CORE PANEL","18.25000","2017"
"29934","SCSL","GILL NET-CORE PANEL","17.50000","2017"
"29933","SCSL","GILL NET-CORE PANEL","18.00000","2017"
"29932","SCSL","GILL NET-CORE PANEL","17.50000","2017"
"29931","SCSL","GILL NET-CORE PANEL","17.00000","2017"
"29930","SCSL","GILL NET-CORE PANEL","16.50000","2017"
"29844","OTSL","GILL NET-CORE PANEL","18.00000","2017"
"29843","OTSL","GILL NET-CORE PANEL","18.00000","2017"
"29842","OTSL","GILL NET-CORE PANEL","18.00000","2017"
"29841","OTSL","GILL NET-CORE PANEL","18.00000","2017"
"29840","OTSL","GILL NET-CORE PANEL","18.00000","2017"
"29018","DGSL","GILL NET-CORE PANEL","18.00000","2018"
"29017","DGSL","GILL NET-CORE PANEL","18.00000","2018"
"29016","DGSL","GILL NET-CORE PANEL","18.00000","2018"
"29015","DGSL","GILL NET-CORE PANEL","18.00000","2018"
"29014","DGSL","GILL NET-CORE PANEL","18.00000","2018"
"29013","DGSL","GILL NET-CORE PANEL","18.00000","2018"
"28615","DGSL","GILL NET-CORE PANEL","21.00000","2017"
"28614","DGSL","GILL NET-CORE PANEL","20.25000","2017"
"28613","DGSL","GILL NET-CORE PANEL","19.25000","2017"
"28612","DGSL","GILL NET-CORE PANEL","18.50000","2017"
"28611","DGSL","GILL NET-CORE PANEL","19.75000","2017"
"28610","DGSL","GILL NET-CORE PANEL","18.00000","2017"
"28464","CLSL","GILL NET-CORE PANEL","19.00000","2017"
"28463","CLSL","GILL NET-CORE PANEL","19.00000","2017"
"28462","CLSL","GILL NET-CORE PANEL","19.00000","2017"
"28461","CLSL","GILL NET-CORE PANEL","19.00000","2017"
"28456","BUSL","GILL NET-CORE PANEL","17.00000","2017"
"28455","BUSL","GILL NET-CORE PANEL","17.00000","2017"
"28454","BUSL","GILL NET-CORE PANEL","17.00000","2017"
"28453","BUSL","GILL NET-CORE PANEL","17.00000","2017"
"28394","GESL","GILL NET-CORE PANEL","24.00000","2017"
"28393","GESL","GILL NET-CORE PANEL","24.00000","2017"
"28392","GESL","GILL NET-CORE PANEL","24.00000","2017"
"28391","GESL","GILL NET-CORE PANEL","24.00000","2017"
"28352","NOSL","GILL NET-CORE PANEL","20.00000","2017"
"28351","NOSL","GILL NET-CORE PANEL","20.00000","2017"
"28350","NOSL","GILL NET-CORE PANEL","20.00000","2017"
"28349","NOSL","GILL NET-CORE PANEL","20.00000","2017"
"28312","WSSL","GILL NET-CORE PANEL","24.00000","2017"
"28311","WSSL","GILL NET-CORE PANEL","24.00000","2017"
"28310","WSSL","GILL NET-CORE PANEL","24.00000","2017"
"28309","WSSL","GILL NET-CORE PANEL","24.00000","2017"
"28230","SNSL","GILL NET-CORE PANEL","24.00000","2017"
"28229","SNSL","GILL NET-CORE PANEL","24.00000","2017"
"28228","SNSL","GILL NET-CORE PANEL","24.00000","2017"
"28227","SNSL","GILL NET-CORE PANEL","24.00000","2017"
"28226","SNSL","GILL NET-CORE PANEL","24.00000","2017"
"28225","SNSL","GILL NET-CORE PANEL","24.00000","2017"
"28212","PTSA","GILL NET-CORE PANEL","24.00000","2017"
"28211","PTSA","GILL NET-CORE PANEL","24.00000","2017"
