lakecode,month,year,station,secchi_m
BUSL,JUNE,2017,1,0.3
BUSL,JUNE,2017,2,0.6
BUSL,JUNE,2017,3,0.6
CASL,JUNE,2017,1,0.65
CASL,JUNE,2017,2,1
CASL,JUNE,2017,3,1
CLSL,JUNE,2017,1,1.1
CLSL,JUNE,2017,2,1.35
CLSL,JUNE,2017,3,1.2
DGSL,JUNE,2017,1,1.05
DGSL,JUNE,2017,2,1.3
DGSL,JUNE,2017,3,1.9
GESL,JUNE,2017,1,1.1
GESL,JUNE,2017,2,1.8
GESL,JUNE,2017,3,1.3
MESL,JUNE,2017,1,0.55
MESL,JUNE,2017,2,0.55
MESL,JUNE,2017,3,0.5
NOSL,JUNE,2017,1,0.75
NOSL,JUNE,2017,2,0.8
NOSL,JUNE,2017,3,0.8
OTSL,JUNE,2017,1,0.3
OTSL,JUNE,2017,2,0.3
OTSL,JUNE,2017,3,0.35
PTSA,JUNE,2017,1,1.4
PTSA,JUNE,2017,2,1.5
PTSA,JUNE,2017,3,1.7
SCSL,JUNE,2017,1,0.4
SCSL,JUNE,2017,2,0.4
SCSL,JUNE,2017,3,0.4
SNSL,JUNE,2017,1,0.5
SNSL,JUNE,2017,2,0.6
SNSL,JUNE,2017,3,0.6
WSSL,JUNE,2017,1,0.4
WSSL,JUNE,2017,2,0.5
WSSL,JUNE,2017,3,0.5
BUSL,AUG,2017,1,0.4
BUSL,AUG,2017,2,0.5
BUSL,AUG,2017,3,0.5
CASL,AUG,2017,1,0.82
CASL,AUG,2017,2,0.95
CASL,AUG,2017,3,0.93
CLSL,AUG,2017,1,0.8
CLSL,AUG,2017,2,0.9
CLSL,AUG,2017,3,0.9
DGSL,AUG,2017,1,1.8
DGSL,AUG,2017,2,2.2
DGSL,AUG,2017,3,2.9
GESL,AUG,2017,1,1.15
GESL,AUG,2017,2,1.09
GESL,AUG,2017,3,1.45
MESL,AUG,2017,1,0.68
MESL,AUG,2017,2,0.77
MESL,AUG,2017,3,0.75
NOSL,AUG,2017,1,0.7
NOSL,AUG,2017,2,0.6
NOSL,AUG,2017,3,0.55
OTSL,AUG,2017,1,0.36
OTSL,AUG,2017,2,0.39
OTSL,AUG,2017,3,0.38
PTSA,AUG,2017,1,1.7
PTSA,AUG,2017,2,1.7
PTSA,AUG,2017,3,1.8
SCSL,AUG,2017,1,0.6
SCSL,AUG,2017,2,0.4
SCSL,AUG,2017,3,0.45
SNSL,AUG,2017,1,1.1
